street,city,County,State,zip,x,y
Kendrick Park Intersection of North and East Pleasant st.,Amherst,Hampshire,Massachusetts,01004,-72.519778,42.379974
170 Chestnut Street,Amherst,Hampshire,Massachusetts,01002,-72.511105,42.384865999999995
Amma Senior and Community Center,Amma,Roane,West Virginia,25252,-81.255883,38.583304999999996
301 B Madison Street,Madison,Davidson,Tennessee,37115,-86.71695,36.258501
100 Church Street,Amsterdam ,Montgomery,New York,12010,-74.18498290000001,42.939594
Kennedy Commons (306 Main),Anaconda,Deer Lodge,Montana,59711,-112.954123,46.12798
611 R Avenue,Anacortes,Skagit,Washington,98221,-122.609181,48.516974
Main Street,Anamoose,McHenry,North Dakota,58710,-100.24061,47.880722
Corner of Scott and Main Streets,Anamosa,Jones,Iowa,52205,-91.2795,42.1083
1420 Cordova Street,Anchorage,Anchorage,Alaska,99645,-149.880724,61.208059
3rd Avenue and E Street,Anchorage,Anchorage,Alaska,99501,-149.891,61.2195
11th and Meridian ,Anderson ,Madison,Indiana,46016,-85.67921,40.104518
402 N. Murray Ave.,Anderson,Anderson,South Carolina,29621,-82.652151,34.506797999999996
1505 Bypass US 127 North,Lawrenceburg ,Anderson,Kentucky,40342,-84.91805699999999,38.074839000000004
1240 Clifton Rd,Xenia,Greene,Ohio,45385,-83.8824,39.7668
7832 Five Mile Road,Cincinnati,Hamilton,Ohio,45230,-84.350563,39.078533
Happy Valley Rd.,Anderson,Shasta,California,96007,-122.40799999999999,40.4487
1500 W. Berwyn Ave.,Chicago,Cook,Illinois,60640,-87.6687,41.978
97 Main Street,Andover ,Essex,Massachusetts,01810,-71.139578,42.653441
"Park Circle, Main Street",Angelica,Allegany,New York,14709,-78.015956,42.306061
2107 S Medford Dr ,Lufkin ,Angelina,Texas,75901,-94.697749,31.321061
"Utica Park, Utica Lane",Angels Camp,Calaveras,California,95222,-120.5427,38.072158
315 Detroit Street,Ann Arbor,Washtenaw,Michigan,48104,-83.74665300000001,42.283836
2150 Hempstead Tpke,Elmont ,Nassau,New York,11003,-73.716466,40.708292
1150 E Vienna St.,Anna,Union,Illinois,62906,-89.2093,37.4604
6621 Columbia Pike ,Annandale,Fairfax,Virginia,22003,-77.1743282,38.8348371
Compromise Street,Annapolis,Anne Arundel,Maryland,21401,-76.48621,38.97658
Riva Road & Harry S Truman pkwy,Annapolis,Anne Arundel,Maryland,21401,-76.5556,38.9763
420 E. Main Street,Anoka,Anoka,Minnesota,55303,-93.384261,45.197726
1730 Conestoga Road/Rt 401,Chester Springs,Chester,Pennsylvania,19425,-75.641899,40.079648
1736 Hwy 52 South,Wadesboro,Anson,North Carolina,28170,-80.05256700000001,34.940829
42041 20th St. West,Lancaster,Los Angeles,California,93534,-118.1662288,34.6470421
41703 N. Gavilan Peak Pkwy,Anthem ,Maricopa,Arizona,85086,-112.13631299999999,33.862997
Corner of West Main and Lawrence,Anthony,Harper,Kansas,67003,-98.038,37.1521
700 Superior St,Antigo,Langlade,Wisconsin,54409,-89.15228,45.14188
220 N. Salem St. ,Apex ,Wake,North Carolina,27502,-78.849899,35.7320152
115 Mulberry Street,Newport,Cocke,Tennessee,37821,-83.194852,35.96175
Intersection of Fair Street and Lakeview Drive,Gray,Washington,Tennessee,37615,-82.4819,36.4183
19th and Ave A,Lubbock,Lubbock,Texas,79401,-101.8364,33.57785
12206 E. Hwy 62,Idalou,Lubbock,Texas,79329,-101.611862,33.666336
100 College Avenue,Appleton,Outagamie,Wisconsin,54911,-88.40703,44.26201
6500 Soquel Drive,Aptos,Santa Cruz,California,95003,-121.92703940000001,36.9872756
909 East Main Road,Middletown,Newport,Rhode Island,02840,-71.271936,41.529191
Memorial Boulevard and Edgar Street,Newport,Newport,Rhode Island,02840,-71.3048066,41.483380700000005
400 W. Main St.,Arcade,Wyoming,New York,14009,-78.4308288,42.533776399999994
250 South Main Street,Ironton,Iron,Missouri,63650,-90.6278618,37.5945109
1230 Sumner Rd SE,Washington,District of Columbia,District of Columbia,20020,-76.996697,38.860661
111 Michigan Ave NW ,Washington ,District of Columbia,District of Columbia,20010,-77.0146728,38.9271809
115 Atlantic Street SW ,Washington ,District of Columbia,District of Columbia,20032,-77.00939129999999,38.8312359
801 17th St NE,Washington,District of Columbia,District of Columbia,20002,-76.9781261,38.9008251
3500 Martin Luther King Jr Ave SE,Washington,District of Columbia,District of Columbia,20032,-77.00443609999999,38.8400841
1350 49th St NE,Washington,District of Columbia,District of Columbia,20019,-76.9324515,38.9082997
601 Edgewood St NE ,Washington ,District of Columbia,District of Columbia,20017,-76.9971713,38.9237975
425 Chesapeake St SE,Washington,District of Columbia,District of Columbia,20032,-76.9991386,38.8286428
3rd St. & Elm St. NW,Washington,District of Columbia,District of Columbia,20001,-77.01595909999999,38.9175043
740 Kenilworth Ave NE,Washington,District of Columbia,District of Columbia,20019,-76.9468929,38.900758200000006
3700 9th St SE ,Washington ,District of Columbia,District of Columbia,20032,-76.9940286,38.8358959
1310 Southern Ave SE,Washington,District of Columbia,District of Columbia,20032,-76.9849936,38.8359393
800 6th St NW ,Washington,District of Columbia,District of Columbia,20001,-77.02019109999999,38.9002248
9th and H Streets,Arcata,Humboldt,California,95521,-124.086882,40.868396999999995
"Intersection of Rt. 245 & I-66, exit 31",The Plains,Fauquier,Virginia,20198,-77.787516,38.850955
3102 Baldwin Street,Corpus Christi,Nueces,Texas,78405,-97.4258,27.7763
107 N Main Street,Standish,Arenac,Michigan,48658,-83.96129599999999,43.983428
325 W Liberty,Ann Arbor,Washtenaw,Michigan,48103,-83.75214759999999,42.278981099999996
200 Blcok S. Summit,Arkansas City,Cowley,Kansas,67005,-97.0386,37.0609
Main and Sixth,Stuttgart,Arkansas,Arkansas,72160,-91.5488,34.4851
The Triangle,DeWitt,Arkansas,Arkansas,72042,-91.3401,34.2823
Corner of Cantrell and Pleasant Valley,Little Rock,Pulaski,Arkansas,72206,-92.3709,34.7568
Lakewood Village Mall,Little Rock,Pulaski,Arkansas,72206,-92.2329,34.7955
YMCA - 12th & Cleveland,Little Rock,Pulaski,Arkansas,72206,-92.3452,34.7404
509 Scott St.,Little Rock,Pulaski,Arkansas,72201,-92.269599,34.743076
305 N. Buckeye Street,Osgood,Ripley,Indiana,47037,-85.2924,39.1313
200 North Olympic,Arlington,Snohomish,Washington,98223,-122.1264564,48.193675299999995
123 Raymond Avenue ,Poughkeepsie,Dutchess,New York,12603,-73.901164,41.691447
"Russell Commons Parking Lot, Winslow St. at Mystic St","Arlington, Ma. ",Middlesex,Massachusetts,02474,-71.164738,42.427739
1400 N. Courthouse Rd.,Arlington,Arlington,Virginia,22201,-77.084528,38.889602000000004
N. Arlington Heights Rd. at E. Eastman St.,Arlington,Cook,Illinois,60004,-87.9808,42.086000000000006
"Arlington Mill Community Center, 909 S. Dinwiddie Street",Arlington ,Arlington,Virginia,22204,-77.1121896,38.8562594
374 Arlington Avenue,Jersey City,Hudson,New Jersey,07304,-74.070764,40.714273999999996
1635 Islata Blvd SW     ,Albuquerque,Bernalillo,New Mexico,87105,-106.67762590000001,35.0526489
Parade Street,Providence ,Providence,Rhode Island,02909,-71.431725,41.814292
2400 Bradley Beach Road,Arnold,Jefferson,Missouri,63010,-90.35855699999999,38.45456
"Cedar Center, Hwy. 4 & Oak Circle",Murphys,Calaveras,California,95247,-120.36200000000001,38.239000000000004
"East Branch, K-Mart Parking lot",Arroyo Grande,San Luis Obispo,California,93420,-120.552,35.1271
72955 Van Dyke Ave.,Bruce Township,Macomb,Michigan,48065,-83.020813,42.830852
208 Carter Drive Suite 13B,West Chester,Chester,Pennsylvania,19382,-75.587797,39.948293
9600 North US Hwy 31,Columbus ,Bartholomew,Indiana,47201,-85.95311099999999,39.292351000000004
57th St. & Olde Wadsworth St.,Arvada,Jefferson,Colorado,80002,-105.081455,39.800138000000004
 First and Ocean Avenue,Asbury Park,Monmouth,New Jersey,07712,-74.00077879999999,40.219339
134 South Church Street,Asheboro,Randolph,North Carolina,28801,-79.8175,35.7049
6700 S. Kedzie Ave.,Chicago,Cook,Illinois,60629,-87.626,41.8851
"One Loudoun, 20357 Exchange St.",Ashburn,Loudoun,Virginia,20147,-77.45425300000001,39.053581
Block of East Main St.,Ashdown,Little River,Arkansas,71822,-94.131,33.6747
108 Backstreet,West Jefferson,Ashe,North Carolina,28694,-81.493514,36.402494
161 S Charlotte Street,Asheville ,Buncombe,North Carolina,28801,-82.548852,35.593481
1 Town Square Blvd,Asheville,Buncombe,North Carolina,28803,-82.55464599999999,35.486275
Ashfield Town Common,Ashfield,Franklin,Massachusetts,01330,-72.790325,42.525744
200th Block Chapple Ave,Ashland,Ashland,Wisconsin,54846,-90.8907,46.5882
101 Thompson St.,Ashland,Hanover,Virginia,23005,-77.483393,37.758739
125 Front St,Ashland,Middlesex,Massachusetts,01721,-71.461538,42.260027
1420 East Main,Ashland,Jackson,Oregon,97520,-122.69200000000001,42.1945
2600 Ashland Road,Columbia,Richland,South Carolina,29210,-81.1279,34.0412
Highway 82,Crossett,Ashley,Arkansas,71635,-91.9664,33.1353
Ashmont MBTA Plaza,Dorchester,Suffolk,Massachusetts,02124,-71.064236,42.285528
Off Main Street,Ashton,Fremont,Idaho,83420,-111.446,44.0714
7301 S Santa Fe Dr,Littleton,Arapahoe,Colorado,80120,-105.02521899999999,39.585505
East Hopkins and South Hunter,Aspen,Pitkin,Colorado,81611,-106.81700000000001,39.1894
14 St - 31 Ave & 31 Rd,Queens,Queens,New York,11106,-73.932452,40.767672
12th Street,Astoria,Clatsop,Oregon,97103,-123.83029509999999,46.185509
3300 Aggie Road,Jonesboro,Craighead,Arkansas,72401,-90.667327,35.840771000000004
199 St. Catherine Street,Natchez,Adams,Mississippi,39120,-91.38492099999999,31.556010999999998
Morro Road & El Camino Real,Paso Robles,San Luis Obispo,California,93447,-120.667,35.4882
Palma & Entrada,Atascadero,San Luis Obispo,California,93422,-120.669,35.4901
Between 4th & 6th on Main St.,Atchison,Atchison,Kansas,66002,-95.119747,39.560806
Wilson Park,Athens,Calhoun,Michigan,49011,-85.235,42.0885
1000 East State Street,Athens,Athens,Ohio,45701,-82.0584387,39.335916299999994
106 South Jackson Street,Athens,McMinn,Tennessee,37303,-84.591849,35.441046
301 College Ave,Athens,Clarke,Georgia,30601,-83.37605500000001,33.959569
705 Sunset Drive (Bishop Park),Athens,Clarke,Georgia,30606,-83.4121317,33.9644564
670 W. Broad Street,Athens,Clarke,Georgia,30603,-83.383849,33.956317999999996
409 W Green Street,Athens,Limestone,Alabama,35611,-86.9735003,34.8013039
2104 South Boulevard,Charlotte,Mecklenburg,North Carolina,28203,-80.86126999999999,35.20844
Athol Uptown Common,Athol,Worcester,Massachusetts,01331,-72.21583670000001,42.5892837
16 Forest Parkway,Forest Park,Clayton,Georgia,30927,-84.4009,33.6168
