AREA,PERIMETER,CIT0002_,CIT0002_ID,FPL,STATFIPS,PLACFIPS,NAME,STATE,TOTALPOP,HOUSEUNT,LANDAREA,WATRAREA,LAT,LONG,observed
0.0,0.01126,31.0,5.0,3400,35,03400,Angel Fire village,NM,93,616,666.0,0.0,+36.390614,-105.278655,
1e-05,0.02238,32.0,5.0,3400,35,03400,Angel Fire village,NM,93,616,666.0,0.0,+36.390614,-105.278655,
4e-05,0.04753,33.0,5.0,3400,35,03400,Angel Fire village,NM,93,616,666.0,0.0,+36.390614,-105.278655,
2e-05,0.01792,34.0,11.0,0,,,,,0,0,0.0,0.0,,,
0.00084,0.16915,35.0,12.0,61710,35,61710,Ranchos De Taos CDP,NM,1779,711,8406.0,0.0,+36.362902,-105.603286,
0.00038,0.08814,36.0,6.0,74800,35,74800,Springer town,NM,1262,589,3830.0,0.0,+36.366246,-104.593128,
0.00142,0.16472,37.0,13.0,51770,35,51770,Newcomb CDP,NM,388,156,14122.0,0.0,+36.283287,-108.706832,
0.00022,0.08529,38.0,14.0,81520,35,81520,Vadito CDP,NM,283,119,2219.0,0.0,+36.191077,-105.677104,
0.00043,0.09002,39.0,15.0,14110,35,14110,Chamisal CDP,NM,272,143,4265.0,0.0,+36.176666,-105.749036,
0.00031,0.08252,40.0,16.0,55900,35,55900,Penasco CDP,NM,648,280,3128.0,0.0,+36.171204,-105.691913,
0.00013,0.05145,41.0,3.0,2070,35,02070,Alcalde CDP,NM,308,122,1328.0,0.0,+36.084742,-106.058445,
0.00057,0.14991,42.0,14.0,51280,35,51280,Naschitti CDP,NM,323,87,5705.0,0.0,+36.062221,-108.680973,
0.00013,0.05495,43.0,4.0,68705,35,68705,San Juan CDP,NM,465,189,1276.0,0.0,+36.051926,-106.068351,
0.00033,0.12363,44.0,1.0,19150,35,19150,Cuba village,NM,760,329,3284.0,0.0,+36.022477,-106.954246,
0.00166,0.39179,45.0,5.0,25170,35,25170,Espanola city,NM,8389,3390,19606.0,192.0,+36.003406,-106.069302,
0.0007,0.21631,46.0,6.0,14950,35,14950,Chimayo CDP,NM,2789,1110,17420.0,264.0,+35.998760,-105.928546,
0.00045,0.14345,47.0,2.0,83340,35,83340,Wagon Mound village,NM,319,209,4564.0,0.0,+36.002875,-104.714306,
0.00107,0.17535,48.0,1.0,14950,35,14950,Chimayo CDP,NM,2789,1110,17420.0,264.0,+35.998760,-105.928546,
0.00175,0.21117,49.0,2.0,70460,35,70460,Santa Cruz CDP,NM,2504,937,17488.0,0.0,+35.985497,-106.016094,
0.00033,0.12242,50.0,3.0,25170,35,25170,Espanola city,NM,8389,3390,19606.0,192.0,+36.003406,-106.069302,
