function,runtime_seconds,target_stdev,target_variance,target_num_unique,num_rows,target_is_numerical,algo,test_accuracy,training_accuracy,test_mse,training_mse
run_regressor,1.26211690903,0.248963065981,0.0619826082229,801,2924,True,SVR,,,51998.0758437,52712.0600883
run_regressor,0.0514321327209,0.248963065981,0.0619826082229,801,2924,True,LinR,,,2340.99532395,1920.50569132
run_classifier,92.057488203,0.248963065981,0.0619826082229,801,2924,True,LogRC,0.023942537909,0.0574555403557,,
run_classifier,4.43280506134,0.248963065981,0.0619826082229,801,2924,True,DTC,0.0279329608939,0.80950752394,,
run_classifier,110.355046988,0.248963065981,0.0619826082229,801,2924,True,SVC,0.00718276137271,0.0129958960328,,
run_classifier,7.23157906532,0.248963065981,0.0619826082229,801,2924,True,RFC,0.0383080606544,0.809849521204,,
run_regressor,1.32146596909,0.124025232999,0.0153822584205,27,2924,True,RFR,,,4.54255209719,1.62409332725
run_regressor,1.4595990181,0.124025232999,0.0153822584205,27,2924,True,SVR,,,8.69835459918,8.33395658208
run_regressor,0.0505847930908,0.124025232999,0.0153822584205,27,2924,True,LinR,,,4.23599388745,4.94025688968
run_classifier,3.12335085869,0.124025232999,0.0153822584205,27,2924,True,LogRC,0.248204309657,0.276675786594,,
run_classifier,0.308902978897,0.124025232999,0.0153822584205,27,2924,True,DTC,0.192338387869,0.838235294118,,
run_classifier,5.41334795952,0.124025232999,0.0153822584205,27,2924,True,SVC,0.164405426975,0.165526675787,,
run_classifier,0.825972080231,0.124025232999,0.0153822584205,27,2924,True,RFC,0.260175578611,0.831053351573,,
