function,runtime_seconds,target_stdev,target_variance,algo,target_is_continuous,target_num_unique,num_rows,target_is_numerical,column_name,test_accuracy,training_accuracy,test_mse,training_mse,colums,rows,SFS,dataset
run_regressor,4.785525799,,,LinR,FALSE,7,21114,FALSE,marital-status,,,1.970897929,2.001709052,14,32562,TRUE,adult
run_classifier,265.2749929,,,LogRC,FALSE,14,21114,FALSE,occupation,0.308908046,0.313820214,,,14,32562,TRUE,adult
run_classifier,10.76452994,,,DTC,FALSE,14,21114,FALSE,occupation,0.322833775,0.346215781,,,14,32562,TRUE,adult
run_classifier,98.77769685,,,RFC,FALSE,14,21114,FALSE,occupation,0.322612732,0.327365729,,,14,32562,TRUE,adult
run_regressor,101.062248,,,RFR,FALSE,14,21114,FALSE,occupation,,,15.47305926,15.53267446,14,32562,TRUE,adult
run_regressor,4.240174055,,,LinR,FALSE,14,21114,FALSE,occupation,,,15.80643026,16.00618562,14,32562,TRUE,adult
run_classifier,105.3231101,,,LogRC,FALSE,6,21114,FALSE,relationship,0.644341291,0.63867576,,,14,32562,TRUE,adult
run_classifier,9.493225098,,,DTC,FALSE,6,21114,FALSE,relationship,0.780503979,0.790991759,,,14,32562,TRUE,adult
run_classifier,97.52609897,,,RFC,FALSE,6,21114,FALSE,relationship,0.779730327,0.789334091,,,14,32562,TRUE,adult
run_regressor,100.0730979,,,RFR,FALSE,6,21114,FALSE,relationship,,,0.789669587,0.766787065,14,32562,TRUE,adult
run_regressor,4.522650957,,,LinR,FALSE,6,21114,FALSE,relationship,,,1.524657553,1.535868103,14,32562,TRUE,adult
run_classifier,80.70082593,,,LogRC,FALSE,5,21114,FALSE,race,0.858532272,0.860329639,,,14,32562,TRUE,adult
run_classifier,8.423012018,,,DTC,FALSE,5,21114,FALSE,race,0.8816313,0.882637113,,,14,32562,TRUE,adult
run_classifier,95.63558912,,,RFC,FALSE,5,21114,FALSE,race,0.8816313,0.882637113,,,14,32562,TRUE,adult
